,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,57676,3,21,1,1,0,0,85,5,15,16,61,689,3,10,27,0,38,0,1,16,5,0,15,12,32,1,0,4,1,17,0,86,0,3,101,15,236,72,50,4,237,3,30,184,1,0,29,68,6,0,0,96,2,0,1,0,1,1,453,0,5,9,0,0,0,2,221,1,55,7,233,122,84,750,229,6,3,2,5,138,69,313,0,0,3520,0,75,15,0,4,8,16,10,17,0,23,6,54,0,0,57,12884,2,713,503,143,1,211,0,5,2,104,1607,33,2,0,0,0,399,0,0,0,29,4,2,13,2,1,171,552,1,41,0,10,1,5,0,2,0,83,0,0,1,3,2,0,0,0,6,14,206,0,8,0,18,412,0,10,4,52,7,5,22,880,13,0,0,3,3586,0,15,326,0,645,61,67,322,0,1,10,67,14,0,0,5,2,24,3,131,23,13,0,3,0,77,1,75,0,6,0,1,0,0,6280,1,171,15,0,10,33,3,36,111,3,45,20,290,0,6,161,24,173,0,3,0,0,0,12,4203,44,4,14,4,3834,1,7,753,0,0,487,24,1,0,21,0,30,7,0,3
TG,6,1281,5,3,3,0,0,14,1,1,10,15,259,1,5,1,0,12,0,4,2,1,0,6,0,8,4,0,0,2,4,0,21,0,45,106,56,6,6,13,0,19,1,37,32,0,0,4,2,0,0,0,252,1,0,0,0,0,1,4,0,1,4,0,0,0,0,85,7,8,1,32,25,30,10,8,11,1,2,1,36,21,192,0,0,280,0,199,29,0,3,5,5,3,13,0,5,6,7,0,0,22,1504,0,199,40,23,0,5,0,1,0,115,25,35,1,0,0,0,69,0,0,0,7,7,0,0,3,0,47,29,0,4,2,1,2,2,1,50,0,2,0,1,2,2,2,0,0,0,7,10,65,0,9,0,3,2,2,6,0,2,0,1,6,481,1,0,0,0,292,0,2,10,1,353,48,54,109,0,0,1,28,7,1,0,5,2,1,0,27,6,16,33,8,0,0,0,23,0,0,0,0,1,1,13,1,192,1,0,0,16,5,3,16,3,8,2,257,0,3,395,2,4,0,0,0,0,0,3,345,17,0,0,1,153,2,6,10,1,0,26,13,2,0,3,0,7,2,0,3
SY,36,4,20829,4,21,0,0,190,10,171,18,3527,2827,24,27,20,1,64,19,3,37,13,0,36,13,51,18,1,1,6,4,0,158,0,7,12333,38,117,11,372,15,243,11,192,1335,1,2,33,10,11,2,0,385,1,0,15,0,1,6,50,0,434,416,0,2,0,2,1129,5,334,4,478,90,162,58,90,408,3,6,28,261,294,558,0,0,705,0,193,32,3,15,120,140,11,112,0,50,4,33,0,0,1614,9926,2,1992,125,165,2,23,0,8,1,2132,398,77,5,0,0,1,526,0,0,0,37,7,0,24,3,1,432,136,1,237,7,24,0,22,5,2,1,17,0,1,27,55,2,4,0,0,12,1513,972,0,20,1,28,37,9,33,9,29,35,2,145,1822,21,6,7,5,968,0,30,79,0,968,102,160,718,0,95,20,234,1142,9,0,7,2,15,2,305,188,27,7,7,0,7,3,335,0,7,0,7,2,4,389,4,314,26,0,4,78,6,1698,22545,27,158,21,605,0,34,1056,561,8,0,1,0,0,12,1666,1097,173,3,5,3,2772,6,23,30,2,0,144,55,3,0,56,0,27,1,1,25
BW,1,6,2,6741,75,0,0,10,0,3,4,6,21,1,33,0,0,5,0,0,2,0,0,2,0,0,0,0,1,0,1,0,6,0,2,22,115,0,0,11,0,18,0,47,15,0,0,12,0,5,0,0,8,8,0,0,0,0,0,0,0,20,1,0,0,0,0,133,11,0,0,25,2,77,1,0,1,2,52,1,33,5,69,0,0,16,0,365,87,0,1,5,2,4,3,0,2,0,0,0,0,8,2459,0,359,3,5,0,2,0,1,0,12,16,4,0,0,2,0,44,0,10,0,15,0,0,1,0,23,32,4,1,2,1,33,2,4,0,1,0,0,0,18,0,5,0,0,0,0,0,3,41,0,3,0,5,3,2,3,0,0,9,1,7,111,4,0,23,0,32,0,0,3,0,86,1,28,73,0,0,1,2607,0,12,0,4,0,0,0,14,5,9,3,2,0,0,0,4,0,0,0,1,0,1,6,0,14,2,0,1,10,0,0,6,2,10,0,26,0,1,9,7,0,0,0,0,0,0,1,23,18,0,1,0,32,0,0,2,9,0,3,425,0,0,32,0,1,0,0,2
NA,6,2,7,117,8745,0,0,17,0,9,10,13,32,2,34,3,0,13,1,0,26,7,0,10,2,9,3,0,1,0,0,0,6,0,1,169,142,86,1,21,1,35,4,12,87,0,1,7,2,9,0,0,70,0,0,0,1,0,1,2,0,0,7,0,1,0,0,148,3,7,0,72,28,100,12,8,5,0,78,4,58,13,66,0,0,55,0,419,160,0,2,28,17,5,3,0,6,2,1,0,0,19,2059,18,486,45,22,0,6,0,22,0,495,30,34,0,0,1,0,93,2,5,0,8,1,0,1,0,1,309,34,1,5,0,33,0,4,0,3,0,4,0,4,3,2,2,0,0,0,1,7,145,0,2,1,2,8,3,9,4,4,1,0,15,319,1,0,37,4,144,0,4,15,0,119,10,16,170,0,1,3,2175,1,41,0,1,0,2,0,43,28,7,3,3,0,1,2,22,0,1,0,0,0,1,13,2,74,1,0,1,67,1,11,13,2,41,9,300,0,3,74,1,1,0,0,0,0,1,7,91,14,1,0,0,78,0,1,4,3,1,29,308,0,0,20,0,8,2,1,2
PF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,4,64,0,10,2,3,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,1,0,0,0,3,0,0,0,0,2,0,0,7,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
UA,48,8,134,10,9,0,0,70849,11,32,110,173,1344,17,17,13,1,157,31,160,104,258,0,160,9,73,12,8,3,1,32,0,278,0,69,916,129,281,33,328,13,448,14,165,332,2,3,341,9,26,7,0,826,1,0,6,1,0,73,60,0,34,53,0,5,0,6,1524,18,122,10,20402,1129,253,212,130,59,53,54,20,1272,177,771,0,0,1451,0,272,71,15,42,53,290,18,48,0,54,12,79,0,0,300,19533,4,3706,884,312,1,67,0,32,5,579,1111,166,6,0,1,0,1309,2,3,0,258,9,3,61,14,0,616,433,18,45,5,23,0,96,1,16,1,66,0,5,13,100,9,4,0,5,19,511,1968,2,14,1,22,172,11,22,4,19,21,3,98,3771,14,0,8,33,11738,0,345,261,0,1931,172,151,1747,0,47,49,268,42,3,0,6,12,586,1,635,157,52,16,23,0,136,1,259,0,6,0,8,0,3,942,3,778,190,0,2,89,31,126,610,256,241,1439,748,0,38,2110,155,72,0,10,1,0,16,40,3568,191,21,6,30,3759,124,12,55,2,11,365,163,0,0,93,0,26,13,0,18
BB,12,0,8,5,2,0,0,9,3384,8,13,10,27,2,3,2,0,10,0,3,3,0,0,3,0,7,1,0,6,2,1,0,13,0,3,10,18,9,4,16,0,30,1,90,26,0,0,135,37,4,0,0,37,31,0,1,0,0,1,4,0,1,3,0,0,0,0,85,3,1,1,69,49,37,5,5,1,2,5,2,48,11,62,0,0,57,0,210,11,0,4,3,4,113,11,0,3,1,11,0,0,13,4275,0,418,60,8,0,7,0,14,0,50,26,9,1,0,0,0,70,0,0,0,6,0,1,1,0,0,45,14,0,1,1,6,9,8,0,1,10,6,0,0,1,5,0,0,0,0,6,2,125,0,2,1,50,1,0,45,2,2,4,5,12,308,9,0,0,1,376,0,5,10,0,46,21,34,195,0,1,12,59,6,0,0,3,0,1,2,22,12,2,1,0,0,3,0,4,0,2,0,0,0,0,19,0,87,0,0,32,15,1,6,10,2,6,1,111,0,0,91,2,4,0,65,0,0,3,0,123,25,0,0,0,67,0,3,6,1,0,20,294,0,0,14,0,0,1,0,4
PS,16,0,118,0,6,0,0,35,2,3507,8,553,149,7,9,2,0,20,3,5,9,3,0,12,1,27,4,0,1,0,9,0,27,0,40,1620,18,15,7,83,2,56,1,45,316,0,0,32,1,2,0,0,885,0,0,1,0,8,0,7,0,73,149,0,0,0,1,195,12,110,4,102,57,29,82,120,57,0,6,5,107,87,291,0,0,399,0,74,4,1,11,5,184,5,17,0,10,8,11,0,0,222,4412,1,768,77,49,0,13,0,8,0,444,134,48,8,0,1,0,170,0,1,0,13,2,2,7,0,1,113,82,4,22,2,5,1,11,2,5,0,6,0,1,7,12,1,1,0,0,3,181,208,0,3,1,13,13,5,9,1,5,7,0,42,1246,12,0,4,2,1263,0,6,30,0,454,36,85,251,0,3,9,138,43,2,0,20,1,7,2,50,35,16,25,4,0,5,0,34,0,2,0,0,3,0,67,1,3161,4,0,0,28,5,374,1447,7,35,9,198,0,6,474,572,11,0,2,0,0,3,231,600,45,2,4,1,321,4,4,21,0,3,52,20,0,0,23,0,6,1,0,12
